"title","artist","album","year","duration"
"On Tha Block #1 (Skit)","Lil Wayne","Tha Carter II",2005,"0:39"
"Wayne's World Skit","Lil Wayne","Dedication Regular & Screwed",2006,""
"Skit","Lil Wayne","Lights Out",2000,"0:42"
"On Tha Block #3 (Skit)","Lil Wayne","Tha Carter II",2005,"0:14"
"On The Block #2 (Skit)","Lil Wayne","Tha Carter (Screwed And Chopped)",2004,"0:26"
"Paid In Full Skit","Lil Wayne","Dedication Regular & Screwed",2006,""
"Wayne Ho Story Skit","Lil Wayne","Dedication Regular & Screwed",2006,""
"On Tha Block #2 (Skit)","Lil Wayne","Tha Carter II",2005,"0:26"
"Skit End","Lil Wayne","No Ceilings",2009,"1:36"
"Keep A Pistol On Me (Skit)","Lil Wil (2)","Dolla$, TX",2008,""
"Skit","Lil' B (2)","Fresh Out The Gates",2006,""
"Skit","Lil' Blood","Shottas",2009,"0:12"
"Skit","Lil' Boosie","Trill Azz Mix Tapes Vol.I",2004,""
"Skit (Made To Get Paid)","Lil' Breazy","Checkmate",2002,""
"Gamblin' Wit Big Style (Skit)","Lil' C-Style","Blacc Balled",2004,""
"Word On The Street (Skit)","Lil' C-Style","Blacc Balled",2004,""
"Hollerin' At A Lil' Stank (Skit)","Lil' C-Style","Blacc Balled",2004,""
"Skit","Lil' Dank","Welcome 2 Da A",2007,"2:28"
"Skit #2 ""Purple Drank""","Lil' Flip","The Leprechaun",2000,"0:24"
"GB Radio Skit #2","Lil' Flip","Blowin & Bangin Vol. 2",2006,""
"Voice Mail Skit 4","Lil' Flip","G-2010 Fans Special",2010,"0:31"
"The Payoff Pt. 2 - Skit","Lil' Flip","Young Bo$$e$ Getting Ca$h",2006,"1:28"
"GB Radio Skit #5","Lil' Flip","Blowin & Bangin Vol. 2",2006,""
"GB Radio Skit #4","Lil' Flip","Blowin & Bangin Vol. 2",2006,""
"Barbershop Talk - Skit","Lil' Flip","Young Bo$$e$ Getting Ca$h",2006,"1:21"
"Skit","Lil' Flip","Envy Me",2005,"1:31"
"Pimp Juju (Skit)","Lil' Flip","I Need Mine $$",2007,"0:58"
"GB Radio Skit #1","Lil' Flip","Blowin & Bangin Vol. 2",2006,""
"Still The King (Skit)","Lil' Flip","Presents [Connected]",2006,"1:09"
"Voice Mail Skit 3","Lil' Flip","G-2010 Fans Special",2010,"0:31"
"Jahova Witness Skit","Lil' Flip","Da Bottom Part Six",2005,""
"Pimpology (Skit)","Lil' Flip","Volume #15 - Pimpin Aint Dead",2003,""
"Voice Mail Skit 2","Lil' Flip","G-2010 Fans Special",2010,"0:20"
"Voice Mail Skit 1","Lil' Flip","G-2010 Fans Special",2010,"0:32"
"Skit #3 ""The Dentist""","Lil' Flip","The Leprechaun",2000,"1:45"
"GB Radio Skit #3","Lil' Flip","Blowin & Bangin Vol. 2",2006,""
"Drank 101 - Skit","Lil' Flip","Young Bo$$e$ Getting Ca$h",2006,"1:02"
"Barbershop Closed Down - Skit","Lil' Flip","Young Bo$$e$ Getting Ca$h",2006,"2:58"
"Skit #1 ""The Copycat""","Lil' Flip","The Leprechaun",2000,"1:12"
"Skit","Lil' Head","Tha 4'3"" Giant",2004,""
"Skit","Lil' J (5)","Thuggin Under The Influence",2001,""
"Skit","Lil' Keke","A.B.A. - Vol. II",2012,""
"Disc 2: Chopped & Slowed 1. Intro  2. Teflon  3. G-Till I Die  4. Slow Down  5. 84's Remix  6. Nothing Wit Me  7. Freestyle  8. All Ready Pt. 2  9. All Because  10. Street Mentality  11. Skit  12. Bouncing & Rolling  13. Southside  14. Freestyle","Lil' Keke","Teflon In A Hood Near You",2008,""
"Skit 1","Lil' Keke","Platinum In Da Ghetto",2001,"0:13"
"Da Real (Skit)","Lil' Keke","PR Wreckin' 2004",2004,""
"Skit 2","Lil' Keke","Platinum In Da Ghetto",2001,"0:20"
"Disc 1: 1. Intro  2. Teflon  3. G-Till I Die  4. Slow Down  5. 84's Remix  6. Nothing Wit Me  7. Skit  8. We Don't Love Them  9. Freestyle  10. All Ready Pt. 2  11. Southside  12. Represent Da S.U.C.  13. All Because  14. Street Mentality  15. Skit  16. Bouncing & Rolling  17. AG Mr. Gates  18. What Im Bout  19. Still Throwed  20. Grit Boyz  21. Pimping And Money  22. Together  23. Freestyle","Lil' Keke","Teflon In A Hood Near You",2008,""
"Hollyhood Skit","Lil' Kim","La Bella Mafia",2003,"0:51"
"Answering Machine Skit","Lil' Kim","The Naked Truth",2005,"2:27"
"2nd. Skit","Lil' Mac (2)","Its My Turn",2002,""
"1st. Skit","Lil' Mac (2)","Its My Turn",2002,""
"After The Club (Skit)","Lil' O","Da Fat Rat Wit Da Cheeze",2000,"0:40"
"Grind Hard, Pray Harder Skit","Lil' O","Tha Flood - Neva Lay Down Vol.3",2009,""
"It's A Wrap Skit","Lil' O","Tha Flood - Neva Lay Down Vol.3",2009,""
"Oh Yeah Skit","Lil' O","Tha Flood - Neva Lay Down Vol.3",2009,""
"The Flood Skit","Lil' O","Tha Flood - Neva Lay Down Vol.3",2009,""
"Can't Tell Em Nothin' (Skit)","Lil' O","Da Fat Rat Wit Da Cheeze",2000,"0:39"
"Skit","Lil' O","Soufside Legend Life Story - Greatest Hits Vol. 1",2007,"0:25"
"Can't Tell Em Nothing (Skit)","Lil' O","Da Fat Rat Wit Da Cheeze",2001,"0:39"
"Ice Water Skit","Lil' Raskull","Trinity Garden Reloaded",2005,""
"Curt B Skit","Lil' Raskull","Trinity Garden Reloaded",2005,""
"Uncle Boudreaux (Skit)","Lil' Raskull","Trinity Garden Reloaded",2005,""
"Skit","Lil' Ric","It's Like Armageddon",1998,""
"Rev. Do Wrong (Skit)","Lil' Ric","Plugged In - Live From The Streets",2012,"0:14"
"Another Skit","Lil' Ric","It's Like Armageddon",1998,""
"Skit","Lil' Rue","Shottas",2010,"0:12"
"K'won Talkin' (Skit)","Lil' Thug","Thug's Diary",2002,"0:31"
"Skit","Lil' Thug","Thug's Diary",2002,"0:30"
"A Call From Tha Dope Mane (Skit)","Lil' Wyte","B.A.R. (Bay Area Representatives) ",2014,"1:00"
"Outside The Shake Junt (Skit)","Lil' Wyte","B.A.R. (Bay Area Representatives) ",2014,"0:39"
"Ghetto Skit","Liquid Assassin","Apocalypse",2008,"1:22"
"Temporary Love Thing (What Am I Gonna Do Extended Skit Mix)","Lisa Lisa & Cult Jam","Playlist: The Very Best Of Lisa Lisa & Cult Jam",2010,"9:04"
"Diary Of A Mad Black Daddy (Skit)","Little Brother (3)","The Minstrel Show",2005,""
"Horror Movie Skit","Little Brother (3)","Separate But Equal",2007,""
"Teedra Moses & MySpace Skit","Little Brother (3)","Separate But Equal",2007,""
"The Singing Bums Skit","Little Brother (3)","Separate But Equal",2007,""
"Don't Trust 'Em (Skit)","Little Brother (3)","Separate But Equal (Drama Free Edition)",2008,""
"Black Man's Rage (Skit)","Little Brother (3)","The Pilot (A Sneak Preview Of The Minstrel Show)",2005,""
"5th And Fashion (Skit)","Little Brother (3)","The Minstrel Show (Clean Version)",2005,"1:19"
"Skit","Little Egypt (2)","The Crown Heights Affair",2006,"0:37"
"Skit","Littles","The Feeding",2003,""
"Littles Skit","Littles","The New General",2003,""
"Robbery Plot Skit","Live Squad","Game Of Survival",2001,"0:57"
"Pop Da Wino Skit #1","Live Squad","Game Of Survival",2001,"0:51"
"Diss Skit","Live Squad","Game Of Survival",2001,"0:41"
"Funeral Skit","Live Squad","Game Of Survival",2001,"0:48"
"Hit Skit Intro","Live Squad","Game Of Survival",2001,"1:23"
"Cant Take It Skit","Live Squad","Game Of Survival",2001,"0:26"
"Block Hot Skit","Live Squad","Game Of Survival",2001,"0:52"
"Stressed Out Skit","Live Squad","Game Of Survival",2001,"0:15"
"Pop Da Wino Skit #2","Live Squad","Game Of Survival",2001,"1:03"
"LJ And Jaylok's Groupies (Skit)","LJ","State 2 State",2007,""
"Prelude (Skit)","LL Cool J","Mr. Smith",1995,""
"The Intro (Skit)","LL Cool J","Mr. Smith",1995,""
"Skit","LL Cool J","G.O.A.T.  Featuring James T. Smith The Greatest Of All Time",2000,"4:32"
"Guess Again - Skit","LMG Mafia","It's Still Murdah",2002,""
"Skit","LMT","Reggae Rap Chemist",0,""
"Ipnosi (Skit)","Lo Sclero","Annihilation",2013,"2:18"
"Sunny In The Booth (Skit)","Logic (27)","Young, Broke & Infamous",2010,""
"Randolph Returns (Skit)","Logic (27)","Welcome To Forever",2013,"1:53"
"Saturday (Skit)","Logic (27)","Welcome To Forever",2013,"2:11"
"ThirstMail (Skit)","Logic (27)","Undeniable",2012,"1:36"
"Sell Out Records (Skit)","Logic (27)","Young Sinatra",2011,"1:53"
"Love Jones (Skit)","Logic (27)","Young, Broke & Infamous",2010,""
"Off A Space (Skit)","Lojique","Language Arts",2006,"0:58"
"Blow My High (Skit)","Lola Damone","The Summer Recess",0,""
"Weed (Skit)","Lola Damone","The Summer Recess",0,""
"Star Playa (Skit)","Lola Damone","The Summer Recess",0,""
"F.A.M.O.U.S. (Skit)","Long Axe","Lost In Translation",2007,""
"Speak English? (Skit)","Long Axe","Lost In Translation",2007,""
"Support The Redman (Skit)","Long Axe","Lost In Translation",2007,""
"Skit 3","Loon","No Friends",2006,"0:18"
"Skit 1","Loon","No Friends",2006,"0:37"
"Skit 2","Loon","No Friends",2006,"0:15"
"Tha Prairie Dogz (Skit)","Loon-E-Toon","Inglewoodz Finast",1993,"1:37"
"Rice Cakes (Skit)","Loon-E-Toon","Inglewoodz Finast",1993,"0:21"
"Skit","Loose Mindz","Fresh",1997,"0:41"
"The Underboss (Skit)","Lord Finesse","A Bronx Tale ",2011,""
"Skit Intro","Lord G (2)","Hot Ta Def - On Tha Mic Cord",1999,"0:41"
"Skit Outro","Lord G (2)","Hot Ta Def - On Tha Mic Cord",1999,"0:51"
"Skit","Lord Infamous","King Of Horrorcore",2012,""
"Skitzofrantic","Lord Infamous","King Of Horrorcore",2012,""
"The Interview (Skit)","Lord Jamar","The 5% Album",2006,"1:35"
"Yakub Da Jeweler (Skit)","Lord Jamar","The 5% Album",2006,"0:44"
"P.S.A. (Skit)","Lord Jamar","The 5% Album",2006,"0:50"
"W.G.O.D. (Skit)","Lord Jamar","The 5% Album",2006,"0:31"
"Zooted (Skit)","Lord Shafiyq","My Mic Is Still On Fire",2005,""
"I Knew All Along (Skit)","Lord Shafiyq","My Mic Is Still On Fire",2005,""
"Rhyme Evaluation Skit","Lordroc","E2 To Bass",2004,""
"Alien Life Skit","Lordroc","E2 To Bass",2004,""
"Skit","Los Marijuanos","Donde Esta Mi Feria? Where Is My Money?",2006,"1:09"
"The David Interview (Skit)","Loverance","Freak Of The Industry",2012,""
"Bitch Slow Down (Skit)","Loverance","Freak Of The Industry",2012,""
"Fuck You Gently (Skit)","Loverance","Freak Of The Industry",2012,""
"That's How They Do (Skit)","LovJoy","Hitsville U.S.A. The Resurrection",0,""
"Bob (Skit)","LovJoy","Hitsville U.S.A. The Resurrection",0,""
"Girl Problems (Skit)","LovJoy","Hitsville U.S.A. The Resurrection",0,""
"Peaches And Fleetwood (Skit)","LovJoy","Hitsville U.S.A. The Resurrection",0,""
"Skit - Radio Hoe's","Low Life (10)","Enemy Of The State",2006,""
"Skit - Creepin On A Come Up","Low Life (10)","Enemy Of The State",2006,""
"The Call (Skit)","LSD (13)","OutKasted",2002,""
"Tha Block (Skit)","LSD (13)","OutKasted",2002,""
"Skit","Lucci-Siegel","Presents The Shakedown",2002,"0:56"
"True Theory Skit","Luck One","True Theory",2011,"0:16"
"Jamson Smarty Pants (Skit)","Luckyiam.PSC","Extra Credit Assignment #1 ""The Vehicle""",2002,""
"Tickets Sold Out (Skit)","Ludacris","Back For The First Time",2000,""
"Training Day Skit","Ludacris","Disturbing The Kings",2006,""
"Ho (Skit)","Ludacris","Back For The First Time",2000,""
"Come On Over (Skit)","Ludacris","Back For The First Time",2000,""
"Behind The Chains (Skit)","Ludacris","Golden Grain",2002,""
"Stop Lying (Skit)","Ludacris","Word Of Mouf",2001,"1:36"
"Greatest Hits (Skit)","Ludacris","Word Of Mouf",2001,"1:16"
"Come Over (Skit)","Ludacris","Incognegro",2000,""
"Howhere (Skit)","Ludacris","Word Of Mouf",2001,"1:11"
"Word On The Street (Skit)","Ludacris","Ludacris Presents...Disturbing Tha Peace",2005,"0:37"
"History Lesson [Skit]","Ludacris","1.21 Gigawatts: Back To The First Time - A Ludacris Film",2011,"1:25"
"Rob Quarters Skit","Ludacris","Chicken -N- Beer",2003,"1:04"
"Interactive Skit","Ludacris","Chicken -N- Beer",2003,"1:03"
"T Baggin' Skit","Ludacris","Chicken -N- Beer",2003,"0:53"
"Black Man's Struggle Skit","Ludacris","Chicken -N- Beer",2003,"0:35"
"Viagra (Skit)","Ludacris","Ludaversal",2015,"1:44"
"Big Chain Records (Skit)","Ludacris","Golden Grain",2002,""
"Skit","Ludacris","The Red Light District",2004,"3:56"
"Eat The P*ssy Skit","Luke","Something Nasty",2001,""
"Kiss Each Other Skit","Luke","Something Nasty",2001,""
"Capri Skit","Luke","Something Nasty",2001,""
"Freaky Red Skit","Luke","Something Nasty",2001,""
"Big D*ck Skit","Luke","Something Nasty",2001,""
"Baptista Skit","Lunchbox Tha Narcoleptic","Peep Now Or Forever Know You Sleep",2009,"0:24"
"Skit","Lunchbox Tha Narcoleptic","Don't Say I Aint Never Gave You Anything",2005,"1:18"
"John The Baptist Skit","Lunchbox Tha Narcoleptic","Peep Now Or Forever Know You Sleep",2009,"0:44"
"Skit","Luni Coleone","Independence Day",2004,"0:31"
"Stang They Ass (Skit)","Luniz","High Timez",2015,""
"Love My Dispensary (Skit)","Luniz","High Timez",2015,""
"Can You Handle Yo Drug (Skit)","Luniz","High Timez",2015,""
"O.S.P.S.A. #2 (Skit)","Luniz","High Timez",2015,""
"High Timez Tale (Skit)","Luniz","High Timez",2015,""
"HP Skit","Lupe Fiasco","Enemy Of The State: A Love Story",2009,"0:37"
"Skit","Luxury Rydaz","Be About Your Paper",2001,""
"LV, Let's Roast Em (Skit)","LV (5)","No Loverboys",2007,""
"What?! (Skit)","LX (4)","The LifeXperience Compilation Vol. 1",2006,"1:08"
"Intro (Skit)","LX (4)","The LifeXperience Compilation Vol. 1",2006,"1:04"
"Bums (Skit)","Lyricists, The","Get Heard Or Die Trying Mixtape",2007,"1:21"
"Homeland Security (Skit)","Lyrics Born","Everywhere At Once",2008,"1:25"
"Born-E-Oh's (Skit)","Lyrics Born","As U Were",2010,"2:02"
"Shoe Hoes Anonymous (Skit)","Lyrics Born","Everywhere At Once",2008,"1:23"
"A Day In The Life (Skit)","Lyrikal (5)","The Golden Solja Chronicles",2000,""
"Skit (Super Fan/Hater Response)","M-Dot","M.ore D.oubters O.ver T.hinking",2011,"1:35"
"Your Black Asss (Skit)","M. Sayyid","Twilight Zone: The Mixtape",2006,""
"Dirty Dance (Skit)","M.A.K.","Make A Killin",2000,"0:42"
"Rhymes Over Flowin' Skit","M.C. Mr. Tink","Quest For Survival",1994,"0:06"
"How Long It's Gonna Last Skit","M.C. Mr. Tink","Quest For Survival",1994,"0:22"
"Dirty Dog Bitches Skit","M.C. Mr. Tink","Quest For Survival",1994,"0:45"
"Love For The Homies Skit","M.C. Mr. Tink","Quest For Survival",1994,"0:23"
"Skin Head Skit","M.C. Mr. Tink","Quest For Survival",1994,"0:29"
"Unique Outro (Skit)","M.C. Unique","The King Of Linguistic",2002,"1:25"
"Unique Intro (Skit)","M.C. Unique","The King Of Linguistic",2002,"1:49"
"Ba-na-na Skit","M.I.A. (2)","Arular",2005,"0:36"
"Boom Skit","M.I.A. (2)","Matangi",2013,"1:15"
"Freedom Skit","M.I.A. (2)","Arular",2005,""
"One For The Head Skit","M.I.A. (2)","Piracy Funds Terrorism (Volume 1)",2004,"1:37"
"Dash The Curry Skit","M.I.A. (2)","Arular",2005,"0:40"
"Stacka Skit","M.I.G. & Crook","Indaskize",1999,""
"Leave A Message (Skit)","M.O.B. (3)","Terror...",1999,""
"Fame Skit","M.O.P.","First Family 4 Life",1998,"1:52"
"Classic (Skit)","M.O.P.","St. Marxmen",2005,""
"Firing Squad (Skit)","M.O.P.","Firing Squad",1996,"0:41"
"Billy Skit","M.O.P.","First Family 4 Life",1998,"0:58"
"Skit","M.O.P.","St. Marxmen",2005,""
"Genocide (Skit)","Mac (2)","World War 3",1999,""
"Skit","Mac Dre","Heart Of Gangsta - Mind Of A Hustler - Tongue Of A Pimp",2000,"0:46"
"Mac Lucci Skit","Mac Lucci","Snoop Dogg Presents Cortez Muzik Vol.1",2011,""
"DJ Age Skit","Mac Lucci","Snoop Dogg Presents Cortez Muzik Vol.1",2011,""
"Pimpin (Skit)","Mac Money","Tales Of A G",2002,""
"Barber Shop (Skit) - Mac Shawn Presents Worldwide Bosses & Playas","Mac Shawn","Worldwide Bosses & Playas",2001,"2:12"
"Fuck Me (Skit)","Maceo","Street Certified Vol. 3",2006,""
"No Dick (Skit)","Mack 10","Bang Or Ball",2001,"1:02"
"Announcement (Skit)","Mack 10","Bang Or Ball",2001,"0:52"
"Dominoes (Skit)","Mack 10","Bang Or Ball",2001,"0:58"
"Mack Sinatra (Skit)","Mack 10","Hustla's Handbook",2005,""
"I'm Special (Skit)","Mack 10","The Paper Route",2000,"0:24"
"Door 2 Door (Skit)","Mack DVS","Tempted",2002,"0:35"
"The Objective (Skit)","Mack Maine","Freestyle 102: No Pens No Pads",2013,"1:13"
"Recess - Skit","Mack Maine","Freestyle 101",2006,"0:29"
"Lil' G (Skit #2)","Mack Maine","Freestyle 101",2006,"2:53"
"Lil' G (Skit)","Mack Maine","Freestyle 101",2006,"0:40"
"Mackin's Skit","Mackin' Rob (2)","Associates Of Arts",2007,""
"Phone Skit","Mad Ill","Only In One Lifetime",1999,""
"Zack Skit","Mad Ill","Only In One Lifetime",1999,""
"What U Thinking!? (Skit)","Mad Lion","Predatah Or Prey",2002,"1:00"
"Skit","Mad Ro","Out Tha Wood Werk",2002,"0:00"
"On Da Creep Skit","Madd Hatta","The pH-Factor",1997,"1:31"
"Luminol Doesn't Sleep (Skit)","Madecipha","Word Is Bond",2009,"0:54"
"Yo, It's Live (Skit)","Madecipha","Word Is Bond",2009,"0:15"
"Cock Tract (Skit)","Madecipha","Completely Disrespectful",2013,"3:12"
"Illuminata Wants My Mind Soul And My Bodda (Skit)","Madecipha","Completely Disrespectful",2013,"2:59"
"Crazy B!tch (Skit)","Madecipha","Word Is Bond",2009,"0:50"
"St!ll Crazy (Skit)","Madecipha","Word Is Bond",2009,"0:22"
"I Have No Idea (Skit)","Madecipha","Armageddon Ready",2012,"0:47"
"She Puts The G In Grandma (Skit, Outro)","Madecipha","Cut Your Losses",2014,"1:20"
"Illumi-What? (Skit)","Madecipha","Armageddon Ready",2012,"0:57"
"Aka (Skit)","Madecipha","Armageddon Ready",2012,"1:49"
"On A Mission / Game Skit / Oh's Warning","Madlib","History Of The Loop Digga, 1990-2000",2010,""
"F.M. Dial (Skit)","Madogg","Where Im From",2003,""
"Phone Call (Skit)","Madogg","Where Im From",2003,""
"Scene Two (Voice Skit)","Madvillain","Madvillainy",2014,"0:20"
"Ambush Skit","Mag (2)","Hustla'z Heaven",1998,"0:30"
"Nasty Skit","Mag (2)","Hustla'z Heaven",1998,"0:49"
"Outro Skit","MaGestik LeGend","To Be Continued... (Megamix) Chapter 1",2010,""
"LaLa (skit)","Magic (2)","On My Own",2003,""
"Dj Ro (skit)","Magic (2)","On My Own",2003,""
"Down Here (skit)","Magic (2)","On My Own",2003,""
"Short And Simple (skit)","Magic (2)","On My Own",2003,""
"Detroit (skit)","Magic (2)","On My Own",2003,""
"Wild Wayne (skit)","Magic (2)","On My Own",2003,""
"Modern Day Slavery / You Pretend skit","Magnificent Abolitionists","12 Jewels",2009,""
"(Skit) Old School Chick","Magnificent TMD, The","This Is Me!",0,""
"(Skit) Fool And His Money","Magnificent TMD, The","This Is Me!",0,""
"Skit- Magno & Uncle Leroy","Magno","Magno Mixes V.I Best Of Magnificent 2003-04",0,""
"Skit- Uncle Leroy","Magno","Magno Mixes V.I Best Of Magnificent 2003-04",0,""
"Ms. Odetta / Magno Skit","Magno","The New Print",2004,""
"Survival (Skit)","Main One","Birth Of The Ghetto Child",1995,"0:53"
"Getting Money (Skit)","Main One","Birth Of The Ghetto Child",1995,"0:35"
"Dolphin Trainer (Skit)","Majik Most","You Got Jokes?!",2007,""
"Chum The Skrilla Guerilla (Skit)","Majik Most","Molesting Hip Hop: The Official Mixtape",2005,"1:01"
"Shit Is Real (Skit)","Majik Most","Molesting Hip Hop: The Official Mixtape",2005,"2:42"
"Welcome To Hell (Skit)","Majik Most","Molesting Hip Hop: The Official Mixtape",2005,"2:31"
"Father Son Picnic (Skit)","Majik Most","You Got Jokes?!",2007,""
"The Majik Most Institute (Skit)","Majik Most","You Got Jokes?!",2007,""
"Skit","Major League (2)","Out Tha Park",1999,""
"The Unknown (Skit)","Makeba Mooncycle","Balance",2005,""
"The Rat Skit","Mako Capone","Street Codes",2008,""
"Scary Nigguh Show (Skit)","Mako Capone","Street Codes",2008,""
"Como El Ruido Del Mar <Skit>","Mala Rodríguez","Alevosia",2003,""
"En Esto <Skit>","Mala Rodríguez","Alevosia",2003,""
"Quacker Skit","Malaria (6)","The Vault",2008,"0:38"
"Skit One ('Da Park)","Malice (9)","Concepts",2004,"0:31"
"Skit 2 ('Da Phonecall)","Malice (9)","Concepts",2004,"1:21"
"Skit 3 ('Da Beatdown)","Malice (9)","Concepts",2004,"1:35"
"Mr. Hanky Christmas (Skit)","Malito","Many Moods Of.. ",2007,"0:43"
"Uncle Rudy's Answering Machine (Skit)","Malito","Many Moods Of.. ",2007,"0:36"
"You Are Not The Father (Skit)","Malito","Many Moods Of.. ",2007,"0:36"
"Brother Skit","Malone (9)","Hustler 3",2000,""
"Skit","Malow Mac","Sly, Sick & Wicked",2005,""
"Jailhouse (Skit)","Man They Call Lux, The","The EP",1996,""
"Dinner Lude (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"1:12"
"Phone Message #2 (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"0:45"
"Mississippi (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"0:05"
"Phone Message #3 (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"0:31"
"Great Moments In The Ghetto #2 (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"0:56"
"Answering Message (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"0:31"
"Swingers & Singers (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"0:28"
"Phone Message #1 (Skit)","Mannie Fresh","The Mind Of Mannie Fresh",2004,"0:38"
"Skit","Mansa Musa (2)","For My People",2010,""
"Spiritual Inslavement (Skit)","Mansa Musa (2)","For My People",2010,""
"Skit 1","Manson Family","Cursed 2",2010,""
"Skit 2","Manson Family","Cursed 2",2010,""
"Legend (Skit)","Marc Live","Validation",2004,"0:26"
"Nubian Plan Skit","Marcellous Lovelace","Nubian Plan It",2006,""
"Free (Skit)","Marcellous Lovelace","Nubian Plan It",2006,""
"Super Mario Bros. + Save Point Skit","Marcus D","Retro'd",2012,""
"Mark Vs. Mike Skit","Mark Ronson","Man In The Mirror",2008,""
"Sunshine Skit","Mark Ronson","Man In The Mirror",2008,""
"Much Love Skit","Mark Ronson","Man In The Mirror",2008,""
"Flip It Skit","Mark Ronson","Man In The Mirror",2008,""
"""Thriller"" Skit","Mark Ronson","Man In The Mirror",2008,""
"Caught Up Skit","Mark Ronson","Man In The Mirror",2008,""
"Mike In The Mirror Skit","Mark Ronson","Man In The Mirror",2008,""
"Windbreaker Skit","Mark Ronson","Man In The Mirror",2008,""
"So High (Skit)","Marlon Money","Mean Joe Green",2002,""
"Skit","Mary Jane Junkeez","Operation: Gain Green",2005,""
"Harlem Skit","Mase","Crucified 4 The Hood - 10 Years Of Hate",0,""
